trial_id,last_train_loss,last_train_loss2,last_train_loss3,last_train_loss_ave,last_train_f1,last_train_f12,last_train_f13,last_train_f1_ave,last_dev_loss1,last_dev_loss2,last_dev_loss3,last_dev_loss_ave,last_dev_f11,last_dev_f12,last_dev_f13,last_dev_f1_ave,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.embedding_num,config.embedding_onerad_num,config.embedding_threerad_num,config.hidden_num
91696_00000,0.00058762,0.000381898,0.000986691,0.000652069,0.994956405,0.994674715,0.993762575,0.994464565,0.042268883,0.012992939,0.063429616,0.039563813,0.953815789,0.955460526,0.952434211,0.953903509,34.52440691,TRUE,,,1,4a041308e5234d03a80b80920624b676,2022-03-18_10-32-16,1647599536,34.52440691,39360,LAPTOP-U2GSCB1O,127.0.0.1,34.52440691,0,1,"0_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=10,hidden_num=300",400,50,10,300
91696_00001,0.001655193,0.002208169,0.000965618,0.00160966,0.995251509,0.99472837,0.994942991,0.99497429,0.154025778,0.059232827,0.172073931,0.128444179,0.954144737,0.954802632,0.953552632,0.954166667,35.52086282,TRUE,,,1,3c70fd23801d45c7a1280e6cdf6a8aa0,2022-03-18_10-32-57,1647599577,35.52086282,34900,LAPTOP-U2GSCB1O,127.0.0.1,35.52086282,0,1,"1_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=20,hidden_num=300",400,50,20,300
91696_00002,0.000208565,0.000612282,0.000348593,0.000389813,0.995533199,0.995157612,0.994513749,0.995068187,0.000170702,0.000295919,6.81E-05,0.00017824,0.955921053,0.955592105,0.956842105,0.956118421,35.34901905,TRUE,,,1,eb8c4394c99244aa90e7a54aac8eb47f,2022-03-18_10-33-37,1647599617,35.34901905,11736,LAPTOP-U2GSCB1O,127.0.0.1,35.34901905,0,1,"2_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=30,hidden_num=300",400,50,30,300
91696_00003,0.000304023,0.000766575,0.001099526,0.000723375,0.99535882,0.99472837,0.994486922,0.994858037,0.019745767,0.008975838,0.028400416,0.019040674,0.95625,0.957960526,0.953881579,0.956030702,35.73779559,TRUE,,,1,5b0ba68e1f0444d1b013f45332c9ee28,2022-03-18_10-34-18,1647599658,35.73779559,47416,LAPTOP-U2GSCB1O,127.0.0.1,35.73779559,0,1,"3_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=40,hidden_num=300",400,50,40,300
91696_00004,0.000367043,0.000334982,0.000520235,0.00040742,0.995627096,0.995211268,0.994795439,0.995211268,0.06581074,0.056212548,0.026794281,0.049605856,0.956381579,0.956315789,0.956118421,0.95627193,35.81945181,TRUE,,,1,c1a59e995dc74c91ac598419eaf0f062,2022-03-18_10-34-58,1647599698,35.81945181,16620,LAPTOP-U2GSCB1O,127.0.0.1,35.81945181,0,1,"4_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=300",400,50,50,300
91696_00005,0.001049963,0.001067022,0.010640895,0.004252627,0.99535882,0.995492958,0.994983233,0.995278337,0.013819669,0.0295677,0.054214194,0.032533855,0.955460526,0.956447368,0.954276316,0.955394737,36.72762346,TRUE,,,1,85b16169c2f14377a030bb206a1df7d0,2022-03-18_10-35-40,1647599740,36.72762346,44060,LAPTOP-U2GSCB1O,127.0.0.1,36.72762346,0,1,"5_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=60,hidden_num=300",400,50,60,300
91696_00006,0.009526394,0.001194998,0.001318447,0.00401328,0.99564051,0.995774648,0.995989269,0.995801476,0.1552663,0.171632141,0.140674978,0.155857806,0.956052632,0.955657895,0.956315789,0.956008772,37.08589888,TRUE,,,1,8bad5b92d6bc4ae0927ce1aad9696fa5,2022-03-18_10-36-22,1647599782,37.08589888,14696,LAPTOP-U2GSCB1O,127.0.0.1,37.08589888,0,1,"6_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=70,hidden_num=300",400,50,70,300
acf2b_00000,0.003276658,0.000625762,0.000897795,0.001600072,0.996284373,0.995720993,0.996338028,0.996114465,0.03742642,0.026760984,0.017584259,0.027257221,0.955131579,0.955197368,0.956381579,0.955570175,34.14845967,TRUE,,,1,818d8935bc7645a781166bf876ed54d2,2022-04-24_10-20-25,1650792025,34.14845967,19444,LAPTOP-U2GSCB1O,127.0.0.1,34.14845967,0,1,"0_embedding_num=500,embedding_onerad_num=50,embedding_threerad_num=80,hidden_num=300",500,50,80,300
91696_00008,0.001325773,0.001020603,0.000440693,0.000929023,0.9959222,0.995412475,0.994889336,0.995408004,0.018530661,0.011436282,0.012589962,0.014185635,0.956842105,0.956118421,0.95625,0.956403509,38.13321042,TRUE,,,1,d3a72da91ec84eccbce2d9d4dc2a40bb,2022-03-18_10-37-21,1647599841,38.13321042,8776,LAPTOP-U2GSCB1O,127.0.0.1,38.13321042,0,1,"8_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=90,hidden_num=300",400,50,90,300
91696_00009,0.001424178,0.003158854,0.000392256,0.001658429,0.995707579,0.995372233,0.995117371,0.995399061,0.036594354,0.031395804,0.050322276,0.039437478,0.958223684,0.957171053,0.956315789,0.957236842,37.63625407,TRUE,,,1,c6b818e775964cd8be89214c01ec775f,2022-03-18_10-38-04,1647599884,37.63625407,28944,LAPTOP-U2GSCB1O,127.0.0.1,37.63625407,0,1,"9_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=100,hidden_num=300",400,50,100,300
